number_of_images,item,itemLabel
19,Q1081574,labia majora
18,Q36633,prostitution
18,Q1324130,roadkill
17,Q891854,bomb attack
17,Q178810,Syrian Civil War
16,Q608,human sexual activity
16,Q42767,whaling
16,Q10801,dildo
16,Q545449,Iraq War
16,Q211011,falconry
16,Q283534,recreational fishing
15,Q41397,genocide
15,Q2981049,Red Summer of 1919
15,Q2223653,terrorist attack
15,Q175111,hanging
15,Q952443,fish trap
15,Q37878723,"Statue ""Jugendlicher Athlet"", Theseustempel"
14,Q104852369,peripheral blood
14,Q1800556,violence against women
14,Q164654,vaginal intercourse
14,Q2487,Thirty Years' War
13,Q111968653,murder of Shireen Abu Akleh
13,Q5007906,Binding of Isaac
13,Q3258546,human anus
13,Q179250,French invasion of Russia
13,Q22907837,Disappeared indigenous women
13,Q34168,trapping
12,Q28120472,Sakoneta
12,Q1313678,ice fishing
12,Q1412313,pegging
12,Q909737,Tlatelolco massacre
12,Q11202642,commercial fishing
12,Q2380335,airstrike
11,Q986161,World Naked Bike Ride
11,Q190845,BDSM
11,Q1211892,labia minora
11,Q3588250,ethnic riot
11,Q6165880,Soviet invasion of Manchuria
11,Q216169,execution by firing squad
11,Q291,pornography
11,Q149086,homicide
11,Q40924,urine
11,Q3882219,assassination
10,Q188494,The hunt of the witches
10,Q109728975,Dichter und Mädchen
10,Q56857972,beheading of John the Baptist
10,Q1342425,femicide
10,Q76469,tear
10,Q108440495,Inge
10,Q164983,Gallipoli campaign
10,Q1746784,small-scale fisheries
9,Q47092,rape
9,Q107461898,2021 Taliban offensive
9,Q106991061,2021 San Jose shooting
9,Q13510036,circumcision of Jesus
9,Q875006,woman on top
9,Q6623,vibrator
9,Q56692098,erect penis
9,Q111029132,Q111029132
9,Q86254356,Funerary statue-Ma 2789
9,Q467011,invasion
9,Q10816,sex toy
9,Q8402,cunnilingus
9,Q16330780,Gillet Kouros-Br 4510
8,Q750215,mass murder
8,Q4668509,abortion statistics in the United States
8,Q2750241,public nudity
8,Q156537,domestic violence
8,Q131295,brothel
8,Q13648784,terror
8,Q628958,pre-ejaculate
8,Q300648,doggy style
8,Q161850,nude model
8,Q52418,Attack on Pearl Harbor
8,Q844482,killing
8,Q56692112,flaccid penis
7,Q79749,blood plasma
7,Q8398,anal sex
7,Q643474,massacre of the Innocents
7,Q11314470,semi nude
7,Q4382340,atomic bombing of Nagasaki
7,Q1091648,Chicago Race Riot of 1919
7,Q108476651,Mann und Frau
7,Q155925,saliva
7,Q2797478,senseless violence
7,Q1098028,frot
7,Q6937963,murder of Lindsay Jo Rimer
6,Q234213,adultery
6,Q64938817,ball gag
6,Q177716,pogrom
6,Q833304,creampie
6,Q673265,Crimean Offensive
6,Q1480864,handjob
6,Q13587273,child murder
6,Q3698123,Saint Andrew's Cross
6,Q626503,swinging
6,Q67236135,harness gag
6,Q11919677,Es Trenc
6,Q3242878,waterfowl hunting
6,Q104957993,2021 Baghdad suicide bombings
6,Q134301,Katyn massacre
6,Q910759,cow dung
6,Q172067,hentai
6,Q51649,First Crusade
6,Q109739893,L’Homme
6,Q111361993,Santo Tomás de Pata killings
6,Q1572196,bondage collar
6,Q1784963,armbinder
5,Q3251025,juniper berry
5,Q133462,seppuku
5,Q7539983,Sleepy Lagoon murder
5,Q2813858,Bombing of Nagoya in World War II
5,Q85403450,Kouros musician-Ma 4677
5,Q220359,Zoot Suit Riots
5,Q29514943,Guillem Agulló i Salvador
5,Q44595,cannibalism
5,Q1627899,wild boar hunting
5,Q208373,female genital mutilation
5,Q1840469,non-penetrative sex
5,Q1414941,Ben Wa balls
5,Q488,Los rusos son idiotas
5,Q111420818,2022 Bnei Brak shootings
5,Q95579249,murder of George Floyd
5,Q106925387,Massacre of Ategorrieta
5,Q165058,Holodomor
5,Q1404482,female dominance
5,Q1639034,strap-on dildo
5,Q1238934,urethral sounding
5,Q109690069,Vier Putti
5,Q217327,suicide attack
4,Q131297,Rwandan genocide
4,Q67237268,muzzle gag
4,Q5887,orgasm
4,Q13616188,UHT milk
4,Q109673069,Girl
4,Q111467700,Bucha massacre
4,Q775405,Kroisos Kouros
4,Q1018743,Ludlow Massacre
4,Q898886,fly fishing
4,Q638603,United Airlines Flight 93
4,Q1264902,Dumas Brothel
4,Q37001445,2017 Catalonia attacks
4,Q536554,vaginal lubrication
4,Q11608124,execution by hanging
4,Q28036573,2016 Berlin attack
4,Q321594,Pascha
4,Q154494,Aktion T4
4,Q6900329,The Blitz
4,Q2001676,military offensive
4,Q2094798,Dhabihah
4,Q421966,nude photography
4,Q193777,stoning
4,Q918319,butt plug
4,Q16943283,Rape of Europa
4,Q70210494,2019 Halle synagogue shooting
4,Q81360866,Ukraine International Airlines Flight 752
4,Q796006,suicide by jumping from height
4,Q271837,chastity belt
4,Q1343157,spoons position
4,Q2148678,sexual penetration
4,Q63977136,Crowning with Thorns
4,Q1435124,capital punishment in the United States
4,Q473845,Columbine High School massacre
4,Q2142916,animal sacrifice
4,Q318529,safe sex
4,Q51656,Fourth Crusade
4,Q22728,human breast milk
4,Q19393843,unsolved murder
4,Q85636305,2020 Hanau shootings
4,Q2349,69
4,Q2122,oral sex
4,Q916412,infanticide
4,Q167191,child abuse
4,Q862586,September Massacres
4,Q19841484,sack
4,Q331828,overfishing
3,Q478301,Hussite Wars
3,Q866650,animal bite
3,Q110084,blood serum
3,Q66827447,cockring vibrator
3,Q2179394,nude swimming
3,Q1418287,goat milk
3,Q705222,Petsamo–Kirkenes Offensive
3,Q1150876,footjob
3,Q1058795,body fluids
3,Q3435795,driven hunt
3,Q21479779,November 2015 Paris attacks
3,Q1345851,headhunting
3,Q11694,American Airlines Flight 11
3,Q2911491,Night of the Gliders
3,Q623636,camel milk
3,Q1372737,penile subincision
3,Q188799,Virginia Tech shooting
3,Q760037,counter-insurgency
3,Q1139400,exudate
3,Q16145053,military sabotage
3,Q66108236,2019 El Paso shooting
3,Q1026171,Cala es Matzoc
3,Q3490562,sexual stimulation
3,Q1239497,donkey milk
3,Q111358099,"Lynchings of Mer Rouge, Louisiana"
3,Q26553,child sexual abuse
3,Q28120272,Agiti
3,Q4941344,bondage cuffs
3,Q18718876,Charlie Hebdo shooting
3,Q1145328,strangling
3,Q206426,sodomy
3,Q4668484,Abortion in Poland
3,Q1502014,seal hunting
3,Q15456623,December 2013 Volgograd bombings
3,Q1052700,lesbian sexual practices
3,Q1973927,punch
3,Q2406205,shootout
3,Q509699,kayak fishing
3,Q6163243,gender violence
3,Q4825093,wardrobe malfunction
3,Q4239723,Q4239723
3,Q851824,persecution
3,Q82542,Tet Offensive
3,Q50295027,torpedo attack
3,Q1025479,deer hunting
3,Q106512243,killing of Adam Toledo
3,Q40053,cruelty to animals
3,Q2066129,Battle of St. Quentin
3,Q591536,animal roleplay
3,Q4668478,Abortion in Mexico
3,Q1025466,assassination of Julius Caesar
3,Q778502,vaginal discharge
3,Q388768,anal beads
3,Q498231,foot binding
3,Q1164348,threesome
3,Q36756,Kristallnacht
3,Q2706246,gag
3,Q3062714,execution of Louis XVI
3,Q757329,fingering
3,Q2853058,human cannibalism
3,Q2024100,One-Two-Two
3,Q496696,milk powder
2,Q252000,oppression
2,Q135005,phishing
2,Q75984,dirty war in Argentina
2,Q67212716,ball stretcher
2,Q19881309,North Thurston High School Shooting
2,Q119094,human sacrifice
2,Q849063,Venus of Brassempouy
2,Q815436,the Troubles
2,Q1026165,Cala Torta
2,Q111588702,2022 New York City Subway attack
2,Q5995805,ikejime
2,Q767568,mutilation
2,Q66424278,penis sleeve
2,Q3491754,male submission
2,Q107419831,murder of Samuel Luiz
2,Q1824714,Tulsa race massacre
2,Q127683,incest
2,Q11086137,Boston Marathon bombings
2,Q18236869,Bush shoeing incident
2,Q652668,Gummosis
2,Q152908,Nudes-A-Poppin'
2,Q3587621,electrocution
2,Q48136,Persecution of Jews
2,Q76580,cum shot
2,Q835565,March 18 Massacre
2,Q4071928,cyberattack
2,Q1545625,strappado
2,Q918840,snowballing
2,Q590545,air raids on Japan
2,Q312492,Herero and Namaqua Genocide
2,Q76824392,2019 London Bridge stabbing
2,Q4241801,Crow Creek massacre
2,Q228284,Expedition of the Thousand
2,Q1505902,spreader bar
2,Q7293897,rape in the United States
2,Q218446,Khojaly Massacre
2,Q277788,Soviet repressions in Belarus
2,Q3815525,kink
2,Q460143,Lawrence Massacre
2,Q17015701,gay sexual practices
2,Q4676786,deliberate murder
2,Q840435,chastity cage
2,Q111013851,Southern Ukraine offensive
2,Q2689466,Dolphinarium discotheque suicide bombing
2,Q5804321,male nudity
2,Q42915628,mass shooting in the United States
2,Q2749287,May 1998 riots of Indonesia
2,Q219561,missionary position
2,Q3502640,penis pump
2,Q88178910,assassination attempt
2,Q54942377,World Naked Bike Ride London
2,Q870684,Green March
2,Q192055,Nanjing Massacre
2,Q534853,horse manure
2,Q179422,lymph
2,Q67086419,spouse abuse
2,Q11288021,Gokumon
2,Q4876601,bear attack
2,Q6948987,Mystic massacre
2,Q1983449,Horse shrimpers of Oostduinkerke
2,Q283681,abortion in the United States
2,Q63781172,anal intercourse
2,Q105570,20 July plot
2,Q100159,euthanasia
2,Q208855,Jallianwala Bagh massacre
2,Q192050,assassination of Archduke Franz Ferdinand
2,Q211087,Pan Am Flight 103
2,Q65640303,Kyoto Animation arson attack
2,Q9029216,Q9029216
2,Q1475448,regicide
2,Q1134817,rooting
2,Q109780817,Praying Boy
2,Q99203881,Hostafrancs attack
2,Q3291045,metoidioplasty
2,Q542289,Hep-Hep riots
2,Q1062923,Whitechapel murders
2,Q65119127,La Matanza
2,Q133333,foxhunting
2,Q76240,Facial
2,Q8565134,foursome
2,Q10591700,mosquito bite
2,Q55392031,death of Lesandro Guzman-Feliz
2,Q9720,Deep-throatin
2,Q3640479,bit gag
2,Q28136551,Rohingya genocide
2,Q19819828,Free the Nipple
2,Q109771254,Sitzende
2,Q3649349,mucus
2,Q23670513,Petya
2,Q60983001,Q60983001
2,Q10818,7 July 2005 London bombings
2,Q2691275,honor killing
2,Q638761,Ardeatine massacre
2,Q8394,sex position
2,Q1713106,upskirt
2,Q2576697,public sex
2,Q111524362,2022 Tel Aviv shooting
2,Q107802,2003 invasion of Iraq
2,Q10336336,neovagina
2,Q3642349,pseudo-penis
2,Q106477445,killing of Daunte Wright
2,Q1993476,death of Adolf Hitler
2,Q839512,mammary intercourse
2,Q26156788,Double Team
2,Q23985856,Platja des Figueral
2,Q8046759,Yagur Junction bombing
2,Q6005183,Q6005183
2,Q163891,St. Bartholomew's Day massacre
2,Q1025404,assassination of Abraham Lincoln
2,Q193484,assassination of John F. Kennedy
2,Q11455849,Fuji no Makigari
2,Q17374096,Malaysia Airlines Flight 17
2,Q254002,Sounion Kouros
2,Q109676270,Torso
2,Q515302,Coursing
2,Q26156986,Recycle
2,Q673281,sexual assault
2,Q463237,American Airlines Flight 77
2,Q3532650,animal sacrifice in Hinduism
2,Q3746560,phlegm
2,Q207693,bukkake
2,Q2359563,Tel al-Zaatar massacre
2,Q4688003,aerial bombing of a city
2,Q694586,Solingen arson attack of 1993
2,Q64339357,Die Erde
2,Q17501769,shooting of Michael Brown
2,Q1877599,Lupinenstraße
2,Q62066211,Christchurch mosque shootings
1,Q2604964,medical abortion
1,Q11995896,Fishing nets on ponds
1,Q109672418,Die Badende
1,Q1946757,Moonlite BunnyRanch
1,Q2084807,Topfreedom
1,Q111411145,Will Smith–Chris Rock slapping incident
1,Q239255,Battle of Arras
1,Q2211650,sadomasochism
1,Q50433857,dive bombing
1,Q19085,death of Osama bin Laden
1,Q105429518,river fisheries
1,Q805426,Ballymurphy massacre
1,Q663016,sex tourism
1,Q235757,fisting
1,Q17015132,Violence against women in the world
1,Q4115166,Persecution of Ahmadis
1,Q424200,snake venom
1,Q3560392,feminine violence
1,Q714349,Rotterdam Blitz
1,Q513072,chinese water torture
1,Q109771951,Viertelmondträgerin
1,Q106880623,Babi Yar Massacre
1,Q80995881,CIL 4.5296
1,Q45178445,Aztec High School shooting
1,Q3386847,venom
1,Q55816370,Tsuyama massacre
1,Q312522,Venus of Hohle Fels
1,Q10572454,semi-skimmed milk
1,Q1934603,whaling in Japan
1,Q28698151,death of Bak Jongcheol
1,Q28403236,University of Texas Tower Shooting
1,Q30015850,2017 Manchester Arena bombing
1,Q13694993,scalping
1,Q96400880,REvil
1,Q967844,Russian apartment bombings
1,Q73484013,"Abortion, Legal"
1,Q65979,bile
1,Q6555462,lion hunting
1,Q937557,meconium
1,Q993771,Batroxobin
1,Q11907095,assassination of Juan Prim
1,Q96761046,Q96761046
1,Q5618454,gun violence
1,Q76432701,Q76432701
1,Q67174168,murder of Emine Bulut
1,Q1414900,El Mozote massacre
1,Q199416,2012 Benghazi attack
1,Q2961398,bear hunting
1,Q112016492,2022 Buffalo shooting
1,Q74011,Norman conquest of southern Italy
1,Q109674701,Bianca – sitzendes Mädchen
1,Q21012148,Bombing of Utsunomiya during World War II
1,Q695020,massacres of Poles in Volhynia and Eastern Galicia
1,Q11583115,Maoka post office incident
1,Q111669479,2022 Costa Rican cyberattack
1,Q207469,mobbing
1,Q6407156,Chastity belt
1,Q554482,persecution of Christians
1,Q798023,Bacha bazi
1,Q17085213,fine-art nude photography
1,Q621076,self-immolation
1,Q111013764,Kyiv offensive
1,Q2472593,Pope John Paul II assassination attempt
1,Q30177123,dog attack
1,Q109773424,Jüngling
1,Q109676114,Liegende – aufgestützt
1,Q108285843,2021 Kabul airport attack
1,Q316743,Ninth Crusade
1,Q108871071,Massacre des Dominicains d'Arcueil
1,Q1155691,soapland
1,Q64876905,Abortion in California
1,Q1995675,Japanese invasion of Malaya
1,Q11452132,erotic novel
1,Q15255064,Monbar Hotel attack
1,Q4468577,Q4468577
1,Q1752350,summary execution
1,Q501866,1983 Invasion of Grenada
1,Q7569100,Southampton Blitz
1,Q661297,dismemberment
1,Q16329328,Q16329328
1,Q2361889,capital punishment in France
1,Q576338,Japanese invasions of Korea
1,Q1261491,male prostitution
1,Q4378809,forced orgasm
1,Q473853,school shooting
1,Q513631,raw milk
1,Q60751540,Tallahassee shooting
1,Q76421,26/11 Mumbai attacks
1,Q135162,zionist Israeli targeted killings
1,Q7801524,tiger hunting
1,Q1832006,Els Muntanyans
1,Q81341687,2020 Iranian attack on U.S. forces in Iraq
1,Q658778,whaling in the Faroe Islands
1,Q55644169,Equine penis
1,Q827681,aqueous humour
1,Q458304,bowhunting
1,Q301448,Coastal Road massacre
1,Q1134821,Bananas Massacre in Colombia
1,Q789633,Aux Belles Poules
1,Q392963,ageplay
1,Q26156733,Disable
1,Q3435247,Anglo-Saxon settlement of England
1,Q47460535,Turpin case
1,Q552113,Venus of Dolní Věstonice
1,Q54957578,tick bite
1,Q2031421,Attack at Agnani
1,Q2866972,assassination of James A. Garfield
1,Q20649407,stag film
1,Q106511772,Q106511772
1,Q35413,clasper
1,Q640682,trophy hunting
1,Q1174599,attack
1,Q5400895,familicide
1,Q1814439,Kishinev pogrom
1,Q10345565,patricide
1,Q19881717,shooting of Rekia Boyd
1,Q109772272,Der Steinhändler
1,Q17329819,distributed denial-of-service attack
1,Q5362385,Teigin incident
1,Q900214,shark attack
1,Q66120984,2019 Dayton shooting
1,Q368779,insect-inflicted wound
1,Q28120546,Barinatxe
1,Q151018,Battle of the Bulge
1,Q85754778,Uyghur genocide
1,Q2776402,lynching of Thomas Shipp and Abram Smith
1,Q1626204,IDN homograph attack
1,Q51653,Crusade of 1101
1,Q30323897,2017 Orlando shooting
1,Q6938103,Murder of Yasuko Watanabe
1,Q1995107,Lake Bodom murders
1,Q68557476,Air raid on Walldürn
1,Q1225041,gaslighting
1,Q508967,Operation Valkyrie
1,Q492814,suicide in South Korea
1,Q111020511,Battle of Mykolaiv
1,Q2247281,Search and destroy
1,Q3092671,gendercide
1,Q11081100,spoofing attack
1,Q1148722,holocaust
1,Q2489794,Price’s Missouri Expedition
1,Q70783842,shooting of Tsang Chi-kin
1,Q109675722,Die Sinnende
1,Q45825724,aerial bombing of Gorla
1,Q931639,Rainiai massacre
1,Q645986,National Reorganization Process
1,Q3641549,bondage harness
1,Q2087792,Adana massacre
1,Q67281158,anal hook
1,Q4303,autofellatio
1,Q2475745,Siberia Airlines Flight 1812
1,Q1053501,sex reassignment surgery
1,Q24930704,Tate murders
1,Q190819,Bloody Sunday
1,Q67277883,BDSM furniture
1,Q38624,dog bite
1,Q109690769,Putten
1,Q2858460,Apollo of Piombino
1,Q926331,ransomware
1,Q1259359,drive-by shooting
1,Q51661,Seventh Crusade
1,Q19344246,pasteurized milk
1,Q680838,ambush
1,Q339159,Battle of Borneo
1,Q896527,deadly force
1,Q305918,iOS jailbreaking
1,Q26156868,Protect
1,Q3057073,erotic humiliation
1,Q63245644,2019 Sri Lanka bombings
1,Q316868,Bombing of Hamburg in World War II
1,Q714211,Yelnya Offensive
1,Q59576416,attempted assassination of Rómulo Betancourt
1,Q108801836,murder of Ocey Snead
1,Q19368231,Cala l'Almunia
1,Q22947455,Ardenne Abbey massacre
1,Q1061018,Viennese oyster
1,Q20671234,2015 Chattanooga shootings
1,Q908508,cannibalism in animals
1,Q697842,invasion of Yugoslavia
1,Q6539177,aircraft shootdown
1,Q96065241,Donald Trump photo op at St. John's Church
1,Q9386436,assassination of Gabriel Narutowicz
1,Q2092950,Hamidian massacres
1,Q52152689,Waffle House shooting
1,Q110645708,2022 Al-Hasakah prison attack
1,Q3559567,Dance of Zalongo
1,Q485675,hemolymph
1,Q799299,Indonesian killings of 1965–1966
1,Q7170074,Persecution of pagans in the late Roman Empire
1,Q71046962,killing of Atatiana Jefferson
1,Q26157328,Hold Hands
1,Q2342867,Palestinian terrorism
1,Q6102087,Great Offensive
1,Q19861762,Female Nude Reading
1,Q3174392,human feces
1,Q109714127,Knabe
1,Q120779,feminization
1,Q111314232,1979 Moicano terrorist attack
1,Q747483,erotic literature
1,Q464643,stabbing
1,Q22022106,shooting of Jamar Clark
1,Q100983478,Killing of Walter Wallace
1,Q61075853,murder of Şule Çet
1,Q1297897,sex work
1,Q646522,prostate massage
1,Q1130507,Hundred Days Offensive
1,Q83858,ramming
1,Q1551045,Circle jerk
1,Q3879282,male nude photography
1,Q1774772,clitoral hood reduction
1,Q1366396,Q1366396
1,Q3043646,White Terror
1,Q700728,Venus of Galgenberg
1,Q111181269,Murder of Patsy Morris
1,Q2304343,Corpus Christi massacre
1,Q1363456,Q1363456
1,Q5533462,genocide of indigenous peoples
1,Q5905675,horse sacrifice
1,Q97164545,Attack against Omar Garcia Harfuch
1,Q67276413,bondage wheel
1,Q743060,Iran Air Flight 655 shootdown
1,Q1150578,1740 Batavia massacre
1,Q14752873,Burnt offering (Judaism)
1,Q109217482,shooting attack
1,Q2552748,waterboarding
1,Q7168386,pericardial fluid
1,Q965477,Grossaktion Warsaw
1,Q109291404,gay oral sex
1,Q105086050,Wakayama poison curry case
1,Q1144602,Sumgait pogrom
1,Q102188098,Killing of João Alberto Freitas
1,Q11652138,Bombing of Nagaoka in World War II
1,Q112573766,Hertzbleed
1,Q660567,child pornography
1,Q39917302,suicide by shooting
1,Q546075,Namamugi Incident
1,Q131406,denial-of-service attack
1,Q208199,Sabra and Shatila massacre
1,Q27114029,sex robot
1,Q1243210,double penetration
1,Q260690,hare hunting
1,Q333740,pig slaughter
1,Q11287,exploit
1,Q233693,Black Dahlia
1,Q1968528,Operation Black Buck
1,Q21042045,Aerial bombing of Halberstadt
1,Q210749,anilingus
1,Q12950902,parforce hunting
1,Q11785455,Borów massacre
1,Q4625199,"2012 College Station, Texas shooting"
1,Q213456,gonad
1,Q51659,Fifth Crusade
1,Q385811,Artificial vagina
1,Q1347682,firefight at the O.K. Corral
1,Q750567,Spring Offensive
1,Q1463845,410 sack of Rome
1,Q64584948,David and Bathsheba
1,Q1707435,clitoridectomy
1,Q19841872,death of Freddie Gray
1,Q10858950,Reinhard Heydrich assassination
1,Q2736146,sheep milk
1,Q1752358,The Holocaust in Lithuania
1,Q17397442,Cala Falcó
1,Q106943158,Q106943158
1,Q1309446,chick culling
1,Q102231206,tuna fisheries
1,Q11388929,suicide by drowning
1,Q2916113,1971 Bangladesh genocide
1,Q97400200,2020 Twitter account hijacking
1,Q3777641,Miami Showband killings
1,Q569287,Bologna massacre
1,Q8184130,Abortion in Argentina
1,Q4751008,anal masturbation
1,Q4135498,Luby's massacre
1,Q487163,Nepalese royal massacre
1,Q1823899,love dart
1,Q2766899,submissive
1,Q713516,Doolittle Raid
1,Q109546618,vaginal creampie
1,Q938497,Venus of Moravany
1,Q4914564,Binyamina train station suicide bombing
1,Q26156943,Twister
1,Q81672,attempted murder
1,Q244926,May 15 Incident
1,Q476345,Strasbourg massacre
1,Q67267331,spanking machine
1,Q79967,2011 Norway attacks
1,Q51657,Albigensian Crusade
1,Q641898,Bloody Night
1,Q51654,Second Crusade
1,Q102247875,crabbing
1,Q108661194,Catholic Church sexual abuse cases in Europe
1,Q6527674,Lepidoptera genitalia
1,Q66626463,clitoral fingering
1,Q3929535,Tondern raid
1,Q22090310,California Genocide
1,Q111528870,Kramatorsk railway station attack
1,Q3309852,genital modification
1,Q109529478,Murder of José Manuel Plácido
1,Q127013,Final Solution
1,Q108479105,Q108479105
1,Q47082588,Helicopter dick
1,Q6066207,Dung
1,Q8029917,wolf attack
1,Q18015660,torpedo bombing
1,Q20025140,elephant hunting
1,Q98381467,unprotected sex
1,Q715695,strategic bombing during World War II
1,Q71105767,pony play
1,Q109691059,Putten
1,Q18354996,Female Genital Mutilation in the United States
1,Q1865659,capital punishment in the United Kingdom
1,Q111064027,Horlivka offensive
1,Q11813656,puppy play
1,Q2567462,dominant
1,Q7883956,suicide by hanging
1,Q322936,AMIA bombing
1,Q109767136,Sitzender
1,Q638079,session hijacking
1,Q166582,Hemipenis
1,Q1139615,Qibya massacre
1,Q102229062,salmon fisheries
1,Q110281451,Lynching of Manuel Cabeza
1,Q217528,Oklahoma City bombing
1,Q423888,apitoxin
1,Q3489516,Pottawatomie Massacre
1,Q7458758,Sexual assault in the United States military
1,Q37426009,Tal Afar offensive (2017)
1,Q56424918,circumcision
1,Q17199280,Camp Speicher massacre
1,Q111383118,2022 Hadera shooting
1,Q4808585,assault occasioning actual bodily harm
1,Q492926,nipple clamp
1,Q3284177,assassination of Olof Palme
1,Q12829829,pus
1,Q8000914,wild fisheries
1,Q1022864,Akika
1,Q28119274,Binigaus
1,Q11476965,Bombing of Shimada
